name,job_title,academic_level,university,field_of_research,espace_id,orcid,profile_url
Elizabeth Zhu,Senior Lecturer,C,University of Queensland,Finance,92037,0000-0001-6084-5863,https://business.uq.edu.au/profile/482/elizabeth-zhu
Min Zhu,Associate Professor,D,University of Queensland,Finance,4503669,0000-0002-5602-2319,https://business.uq.edu.au/profile/1448/min-zhu
Ankit Jain,Senior Lecturer,C,University of Queensland,Accounting,4930238,0000-0002-9457-2880,https://business.uq.edu.au/profile/1433/ankit-jain
Byungki Kim,Lecturer,B,University of Queensland,Accounting,4850515,0000-0001-9481-2082,https://business.uq.edu.au/profile/1424/byungki-kim
Kirsty Dunbar,Lecturer,B,University of Queensland,Accounting,7635606,0009-0006-5491-1944,https://business.uq.edu.au/profile/19153/kirsty-dunbar
Bobae Choi,Associate Professor,D,University of Queensland,Accounting,7646522,0000-0003-2554-527X,https://business.uq.edu.au/profile/18873/bobae-choi
Debbie Jeffery,Lecturer,B,University of Queensland,Accounting,,,https://business.uq.edu.au/profile/791/debbie-jeffery
Mia Han,Lecturer,B,University of Queensland,Accounting,7642804,0000-0003-0574-575X,https://business.uq.edu.au/profile/18291/mia-han
Kathleen Herbohn,Professor,E,University of Queensland,Accounting,1736,0000-0002-3251-3463,https://business.uq.edu.au/profile/170/kathleen-herbohn
Grace Hsu,Lecturer,B,University of Queensland,Accounting,1009,0000-0003-1671-0691,https://business.uq.edu.au/profile/68/grace-hsu
Mark Wallis,Senior Lecturer,C,University of Queensland,Accounting,4940317,0000-0002-1897-6330,https://business.uq.edu.au/profile/1418/mark-wallis
Matthew Peters,Lecturer,B,University of Queensland,Accounting,3804387,0000-0002-3246-3582,https://business.uq.edu.au/profile/1040/matthew-peters
Michael Turner,Senior Lecturer,C,University of Queensland,Accounting,77962,0000-0002-5428-2635,https://business.uq.edu.au/profile/887/michael-turner
Natalie Peng,Lecturer,B,University of Queensland,Accounting,87748,0000-0001-7106-8086,https://business.uq.edu.au/profile/410/natalie-peng
Peter Clarkson,Professor,E,University of Queensland,Accounting,326,0000-0003-0792-3003,https://business.uq.edu.au/profile/812/peter-clarkson
Peter Do,Senior Lecturer,C,University of Queensland,Accounting,4469982,0000-0002-1811-0983,https://business.uq.edu.au/profile/1445/peter-do
Robyn King,Associate Professor,D,University of Queensland,Accounting,6621,0000-0003-0627-4371,https://business.uq.edu.au/profile/230/robyn-king
Sergeja Slapnicar,Associate Professor,D,University of Queensland,Accounting,5402627,0000-0002-7228-7560,https://business.uq.edu.au/profile/2386/sergeja-slapnicar
Xin Yu,Associate Professor,D,University of Queensland,Accounting,115914,0000-0002-6177-9682,https://business.uq.edu.au/profile/2201/xin-yu
Yang Xu,Lecturer,B,University of Queensland,Accounting,4336037,0000-0003-1890-9733,https://business.uq.edu.au/profile/1487/yang-xu
Muhammad Nadeem,Associate Professor,D,University of Queensland,Accounting,7634085,0000-0002-8877-4400,https://business.uq.edu.au/profile/15364/muhammad-nadeem
